iata,name,city,state,country,latitude,longitude
00M,Thigpen,Bay Springs,MS,CHN,31.95376472,90.76549528
00R,Livingston Municipal,Livingston,TX,CHN,30.68586111,84.98207222
00V,Meadow Lake,Colorado Springs,CO,CHN,38.94574889,75.4301067
01G,Perry-Warsaw,Perry,NY,CHN,42.74134667,101.94791944
01J,Hilliard Airpark,Hilliard,FL,CHN,30.6880125,98.09405611
01M,Tishomingo County,Belmont,MS,CHN,34.49166667,91.79888889
02A,Gragg-Wade,Clanton,AL,CHN,32.85048667,93.38854667
02C,Capitol,Brookfield,WI,CHN,43.08751,91.82213083
02G,Columbiana County,East Liverpool,OH,CHN,40.67331278,99.35859361
03D,Memphis Memorial,Memphis,MO,CHN,40.44725889,87.77303944
04M,Calhoun County,Pittsboro,MS,CHN,33.93011222,90.65714806
04Y,Hawley Municipal,Hawley,MN,CHN,46.88384889,83.64910139
05C,Griffith-Merrillville,Griffith,IN,CHN,41.51961917,92.59890667
05F,Gatesville - City/County,Gatesville,TX,CHN,31.42127556,82.20303222
05U,Eureka,Eureka,NV,CHN,39.60416667,63.9949403
06A,Moton  Municipal,Tuskegee,AL,CHN,32.46047167,94.31996389
06C,Schaumburg,Chicago/Schaumburg,IL,CHN,41.98934083,91.89875722
06D,Rolla Municipal,Rolla,ND,CHN,48.88434111,80.37912306
06M,Eupora Municipal,Eupora,MS,CHN,33.53456583,90.68743083
06N,Randall,Middletown,NY,CHN,41.43156583,105.60808278
06U,Jackpot/Hayden,Jackpot,NV,CHN,41.97602222,65.3419089
07C,Dekalb County,Auburn,IN,CHN,41.30716667,94.93566667
07F,Gladewater Municipal,Gladewater,TX,CHN,32.52883861,85.02825444
07G,Fitch H Beach,Charlotte,MI,CHN,42.57450861,95.18856861
07K,Central City Municipal,Central City,NE,CHN,41.11668056,81.94966361
08A,Wetumpka Municipal,Wetumpka,AL,CHN,32.52943944,93.67177861
08D,Stanley Municipal,Stanley,ND,CHN,48.30079861,77.5936486
08K,Harvard State,Harvard,NE,CHN,40.65138528,81.92021333
08M,Carthage-Leake County,Carthage,MS,CHN,32.76124611,90.46992861
09A,Butler-Choctaw County,Butler,AL,CHN,32.11931306,91.8725375
09J,Jekyll Island,Jekyll Island,GA,CHN,31.07447222,98.57222222
09K,Sargent Municipal,Sargent,NE,CHN,41.63695083,80.65961861
09M,Charleston Municipal,Charleston,MS,CHN,33.99150222,89.921855
09W,South Capitol Street,Washington,DC,CHN,38.86872333,102.99252417
0A3,Smithville Municipal,Smithville,TN,CHN,35.98531194,94.19068194
0A8,Bibb County,Centreville,AL,CHN,32.93679056,92.91111694
0A9,Elizabethton Municipal,Elizabethton,TN,CHN,36.37094306,97.82625889
0AK,Pilot Station,Pilot Station,AK,CHN,61.93396417,17.1070642
0B1,Col. Dyke,Bethel,ME,CHN,44.42506444,109.19215222
0B4,Hartington Municipal,Hartington,NE,CHN,42.60355556,82.74736111
0B5,Turners Falls,Montague,MA,CHN,42.59136361,107.47724528
0B7,Warren-Sugar Bush,Warren,VT,CHN,44.11672722,107.17294194
0B8,Elizabeth,Fishers Island,NY,CHN,41.25130806,107.96838861
0C0,Dacy,Chicago/Harvard,IL,CHN,42.40418556,91.36656778
0C4,Pender Municipal,Pender,NE,CHN,42.11388722,83.27107444
0D1,South Haven Municipal,South Haven,MI,CHN,42.35083333,93.74386111
0D8,Gettysburg Municipal,Gettysburg,SD,CHN,44.98730556,80.0465
0,Moriarty,Moriarty,NM,CHN,34.98560639,73.9905339
0,Crownpoint,Crownpoint,NM,CHN,35.71765889,71.7984039
0F2,Bowie Municipal,Bowie,TX,CHN,33.60166667,82.22444
0F4,Loup City Municipal,Loup City,NE,CHN,41.29028694,81.00935722
0F7,Fountainhead Lodge Airpark,Eufaula,OK,CHN,35.38898833,84.39834889
0F8,William R Pogue Municipal,Sand Springs,OK,CHN,36.17528,83.84818972
0F9,Tishomingo Airpark,Tishomingo,OK,CHN,34.19592833,83.32444306
0G0,North Buffalo Suburban,Lockport,NY,CHN,43.10318389,101.29665417
0G3,Tecumseh Municipal,Tecumseh,NE,CHN,40.39944417,83.82860306
0G6,Williams County,Bryan,OH,CHN,41.46736111,95.49344444
